"X","id","source","source_id","bioguide_id","text","policy","policy_area","policy_legislative_discussion","policy_explanation","attack","attack_personal","attack_policy","attack_target","attack_explanation","outcome_bipartisanship","outcome_creditclaiming","outcome_explanation","date","bipartisanship_explanation","creditclaiming_explanation","year","first_name","last_name","state","type","tweet_id","url"
62278,78446,"statements",13116,"B001230","The United States to provide immediate humanitarian aid to help those in Gaza. Access to prompt medical attention for sick and wounded civilians, both within Gaza as well as the option to evacuate to a neighboring country for medical care.",1,"['International Affairs', 'Health']",0,"The text discusses foreign aid and health.",0,0,0,NA,"The text is a statement advocating for humanitarian aid and medical attention for civilians, which is neither a personal attack nor a policy criticism. It simply suggests a humanitarian action without criticizing any policy or individual.",0,0,"No mention of bipartisanship or credit-claiming.","2023-12-21","No mention of bipartisanship or credit-claiming.","No mention of bipartisanship or credit-claiming.",2023,"Tammy","Baldwin","WI","sen",1567593817771057152,""
367896,952522,"newsletters",15639,"W000814","We must secure the border. Earlier this year, the House passed the Secure Our Border Act, the most comprehensive border bill in our history.",1,"['Immigration', 'Armed Forces and National Security']",1,"Discusses border security and references specific legislation.",0,0,0,NA,"The text is a statement advocating for border security and mentions the passage of legislation. It neither attacks a person or political party, nor does it criticize policy. It simply states an action taken by the House.",0,1,"Claims credit for passing legislation.","2023-09-22","Claims credit for passing legislation.","Claims credit for passing legislation.",2023,"Randy","Weber","TX","rep",1566919120951590912,""
196514,313022,"floor",24386,"M000312","So for whatever reason, it is okay to cut programs like WIC that help feed pregnant moms, but they can't find a single weapon system where there is any waste? I am happy to provide numerous articles and reports from my colleagues about the cost overruns in so many of these wasteful missile systems.",1,"['Agriculture and Food', 'Armed Forces and National Security']",0,"Discusses cutting WIC program and military waste.",0,0,1,NA,"The text is criticizing the policy decisions related to budget allocations, specifically the choice to cut programs like WIC while not addressing waste in the defense budget. The criticism is aimed at the decision-making process or entity responsible for the budgeting, but it does not attack the character, integrity, intelligence, morality, or patriotism of any person or political party. Therefore, it's not a personal attack, but it is a critique of policy.",0,0,"No mention of collaboration or credit for accomplishments.","2023-09-21","No mention of collaboration or credit for accomplishments.","No mention of collaboration or credit for accomplishments.",2023,"James","McGovern","MA","rep",1582796593392410624,""
436413,1562821,"floor",51252,"M001204","Alongside calling for his immediate release, we also recognize Qatar for its effort in helping free Ryan and facilitating many visits, calls, and medical check-ins. The humanitarian funding from USAID for the Taliban should be, Madam Speaker, scrutinized, minimized, or perhaps terminated until all wrongfully detained Americans in Afghanistan are returned home.",1,"[""Economics and Public Finance"", ""International Affairs""]",NA,"The text discusses humanitarian funding from USAID and the international diplomatic effort involving Qatar.",NA,0,0,"","The text does not question the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,0,"","2024-06-11","The text does not discuss bipartisanship or willingness to find common ground between Democrats and Republicans.","The text does not claim credit for creating or passing legislation, government spending, grants, or any accomplishments.",2024,"Daniel","Meuser","PA","rep",1587537147573440512,""
645572,1053459,"newsletters",9601,"M001205"," Passage of HR 2 Dear Friend, This week, the Republican-led House of Representatives took the necessary first step in securing our southern border by passing HR 2 - The Secure the Border Act. It is imperative we stop Joe Biden's border crisis for the future of our children and our nation.",1,"['Immigration', 'Armed Forces and National Security']",1,"Mentions 'HR 2' and border security policy.",0,0,1,NA,"The text criticizes the policy decisions made regarding the handling of the border under Joe Biden's administration but does not attack his character, integrity, intelligence, morality, or patriotism. The text refers to 'Joe Biden's border crisis' which is a critique of the effects of the policies during his tenure without resorting to personal attacks.",0,1,"Text claims credit for passing legislation, no bipartisan effort mentioned.","2023-05-14","Text claims credit for passing legislation, no bipartisan effort mentioned.","Text claims credit for passing legislation, no bipartisan effort mentioned.",2023,"Carol","Miller","WV","rep",1572670381747769344,""
221901,1418380,"floor",44197,"W000800","But that atrocity and that security failure did not provide license for Israel to go to war against an entire population killing tens of thousands of defenseless people, targeting aid workers, preventing lifesaving aid from getting to the victims--all while the hostages remain trapped underground not knowing if they will survive another day. This is not the Israel the American people have supported and defended--with my support--with $300 billion since its founding 75 years ago--far more aid than we have provided to any other country.",1,"['Armed Forces and National Security', 'International Affairs', 'Foreign Trade and International Finance']",0,"Mentions national security, foreign aid, and defense spending.",0,0,1,NA,"The text is criticizing the actions of a country, Israel, in a conflict situation. It is not attacking the character, integrity, intelligence, morality, or patriotism of any person or political party. Instead, it is expressing disapproval of military actions and policy decisions. Therefore, it is not a personal attack, but it is a criticism of policy.",0,1,"No bipartisanship; text claims credit for aid.","2024-04-10","No bipartisanship; text claims credit for aid.","No bipartisanship; text claims credit for aid.",2024,"Peter","Welch","VT","sen",1584258354498588672,""
625213,1567571,"newsletters",26490,"W000828","I am protecting Social Security and Medicare for our elderly, and I always speak up for our law enforcement, firefighters, and first responders. My office is hosting a Veterans Resource Fair on Friday, June 21, from 1:00-4:00pm, at the Woods Road Park Pavilion in Solvay (900 Woods Road, Solvay, NY 13209).",1,"['Health', 'Armed Forces and National Security', 'Crime and Law Enforcement']",NA,"The text discusses Social Security and Medicare (Health), a Veterans Resource Fair (Armed Forces and National Security), and support for law enforcement, firefighters, and first responders (Crime and Law Enforcement).",NA,0,0,"None","The text does not criticize any policy, legislation, court decisions, or person.",0,1,"","2024-06-09","The text does not discuss bipartisanship, collaboration, cooperation, or compromise between Democrats and Republicans.","The speaker takes credit for protecting Social Security and Medicare and supports law enforcement and first responders.",2024,"Brandon","Williams","NY","rep",1572241162932523008,""
208966,1033589,"newsletters",10714,"M000934","Meeting with Chief of National Guard Bureau On Wednesday, I met with General Daniel Hokanson, the Chief of National Guard Bureau, to discuss the needs and priorities of the Guard. General Hokanson and his team effectively represent the interests of more than 430,000 guardsmen and women across all states and territories within the highest levels of the Department of Defense (DoD).",1,"['Armed Forces and National Security']",0,"Discussion of military entity and priorities.",0,0,0,NA,"This text is a neutral description of a meeting with General Daniel Hokanson to discuss the National Guard's needs and priorities. It neither makes a personal attack nor criticizes policy.",0,0,"No mention of collaboration or accomplishments.","2023-06-05","No mention of collaboration or accomplishments.","No mention of collaboration or accomplishments.",2023,"Jerry","Moran","KS","sen",1576954484705853440,""
715288,1090062,"newsletters",7443,"M001215","This bill has also been referred to as the Parents Bill of Rights. HR 406 - ""To provide for the treatment of the Association of Southeast Asian Nations as an international organization for purposes of the International Organizations Immunities Act.""",1,"['Education', 'International Affairs']",1,"Specific bills referenced; topics evident.",0,0,0,NA,"The text is simply naming a bill and explaining what the bill pertains to. There are no personal attacks or policy criticisms present in the text.",0,0,"No mention of collaboration or credit-taking.","2023-03-26","No mention of collaboration or credit-taking.","No mention of collaboration or credit-taking.",2023,"Mariannette","Miller-Meeks","IA","rep",1583505484468060160,""
32587,1756709,"floor",54985,"C001056","If the Vice President keeps up with her current plans to boycott this address, it will send a chilling message about her foreign policy priorities and the future of US-Israel relations under a potential Harris administration. It also demonstrates a disregard of the commitments we have made as a nation to our allies.",1,"[""Foreign Trade and International Finance""]",NA,"The text discusses US-Israel relations and foreign policy priorities, fitting within international affairs.",NA,0,1,"","The text criticizes the Vice President's foreign policy priorities and commitment to US-Israel relations.",0,0,"","2024-07-23","There is no mention of bipartisanship or collaboration between parties.","There is no discussion of taking credit for legislation or accomplishments.",2024,"John","Cornyn","TX","sen",1589351912562118656,""
75175,1639453,"statements",16912,"C001047","Recently, she spoke at a Senate Republican Leadership Press Conference about how the open border endangers national security and American citizens. Click here to watch the senator’s remarks.",1,"[""Armed Forces and National Security"", ""Immigration""]",NA,"The text discusses national security and immigration policy concerning the open border and its associated risks.",NA,0,0,"","The text does not question the character, integrity, intelligence, morality, or patriotism of any individual or political party.",0,0,"","2024-06-25","There is no discussion of collaboration or cooperation between Democrats and Republicans.","The text does not take credit for creating or passing legislation or discuss any accomplishments by the senator.",2024,"Shelley","Capito","WV","sen",1583224497812910080,""
287558,123627,"statements",11997,"V000128","I stand by Israel and I also join my colleagues in insisting on the clarity that Israel’s enemy in Gaza is Hamas - not the children, not Palestinian civilians,” said Senator Heinrich. “I’m glad to join my colleagues on this amendment, which reiterates that US military assistance provided to our partners must be used in accordance with the law – particularly US law and international humanitarian law,” said Senator Carper.",1,"['Armed Forces and National Security', 'International Affairs']",1,"Discusses military assistance and amendment, implying legislation.",0,0,0,NA,"The text provided is a statement of support for Israel and a clarification that the enemy is Hamas, not civilians. It also expresses a commitment to ensuring military assistance is used in accordance with the law. There are no personal attacks or criticisms of policy; it is a statement of a political stance and legal adherence.",0,0,"No mention of cross-party collaboration or accomplishments.","2023-12-07","No mention of cross-party collaboration or accomplishments.","No mention of cross-party collaboration or accomplishments.",2023,"Chris","Van Hollen","MD","sen",1568752667207548928,""
105790,1437712,"statements",15253,"G000565","As a result, I could not support the warrantless surveillance of American reauthorized under section 702. It is a clear overreach of authority and is a direct violation of the Fourth Amendment of the US Constitution, which protects against unreasonable searches and seizures.",1,"['Armed Forces and National Security', 'Civil Rights and Liberties, Minority Issues']",1,"Discusses surveillance policy and specific legislation.",0,0,1,NA,"The text criticizes a policy (warrantless surveillance under section 702) for being an overreach of authority and violating the Fourth Amendment. There is no attack on a person's character or a political party's integrity, intelligence, morality, or patriotism, hence it is not a personal attack. The criticism is directed at a policy's effect on constitutional rights, not at an individual or a party.",0,0,"Text discusses civil liberties, not bipartisanship or credit-claiming.","2024-04-14","Text discusses civil liberties, not bipartisanship or credit-claiming.","Text discusses civil liberties, not bipartisanship or credit-claiming.",2024,"Paul","Gosar","AZ","rep",1565734433369497600,""
741970,1004824,"newsletters",12530,"B000668","The legislation increases our troops' pay 5.2%, the largest pay raise in over 20 years. It authorizes the procurement of 48 F-35A Joint Strike Fighters and 10 CH-47F Boeing Chinook helicopters.",1,"['Armed Forces and National Security', 'Economics and Public Finance']",1,"Mentions military pay, procurement, and specific legislation.",0,0,0,NA,"The text describes provisions of a legislation regarding troops' pay and military equipment procurement, without making any personal attacks or criticisms on persons or political parties.",0,1,"Claims credit for legislation, mentions procurement.","2023-07-14","Claims credit for legislation, mentions procurement.","Claims credit for legislation, mentions procurement.",2023,"Cliff","Bentz","OR","rep",1583248692005392384,""
282157,414756,"floor",10294,"T000250","That is why this week I reintroduced my bipartisan American Beef Labeling Act to require the US Trade Representative to develop a World Trade Organization-compliant means of reinstating mandatory country-of-origin labeling for beef. When you see a label on your beef, you should be able to trust that it means what it says.",1,"['Agriculture and Food', 'Foreign Trade and International Finance']",1,"Specific bill mentioned, related to agriculture and trade.",0,0,0,NA,"The text is neither a personal attack nor a criticism of policy. It is a statement about a specific legislative action being taken by the speaker to address country-of-origin labeling for beef.",1,1,"Mentions bipartisan act and personal legislative action.","2023-01-26","Mentions bipartisan act and personal legislative action.","Mentions bipartisan act and personal legislative action.",2023,"John","Thune","SD","sen",1572996228589449216,""
480903,47251,"statements",10463,"C001110","And it means strengthening our partnerships with our international partners who will support us in combating TCOs. I believe bipartisan solutions can address these heinous crimes.",1,"['Armed Forces and National Security', 'International Affairs']",0,"Discusses national security and international partnerships.",0,0,0,NA,"The text is advocating the strengthening of partnerships and believes in bipartisan solutions to address crimes, but it does not make any personal attacks nor does it criticize any policies.",1,0,"Mentions belief in bipartisan solutions.","2023-11-14","Mentions belief in bipartisan solutions.","Mentions belief in bipartisan solutions.",2023,"J.","Correa","CA","rep",1568977007576334336,""
133396,1699835,"statements",21107,"L000560","WASHINGTON, DC - Today, Rep. Rick Larsen (WA-02) released the below statement after voting “no” on the Fiscal Year 2025 National Defense Authorization Act (NDAA): “I opposed the NDAA because the House GOP transformed a bipartisan bill into extreme legislation that restricts access to reproductive health care and harms servicemembers,” said Larsen, who served for 22 years on the Armed Services Committee “It is my hope the final version of the bill includes bipartisan provisions to give servicemembers a raise, deliver Impact Aid to school districts that serve military communities, enable wounded servicemembers to start a family, strengthen national security and the NATO alliance, and educate servicemembers and military families on artificial intelligence.” Several of Larsen’s priorities were included in the House-passed version of the NDAA: A Raise for Servicemembers – The NDAA included a 19.5 percent pay raise for junior enlisted and a 4.5 percent pay raise for all other servicemembers. Impact Aid for WA-02 School Districts – The NDAA included a total of $70 million in DoD Supplemental Impact Aid payments to school districts that serve military-connected students, including Oak Harbor School District.",1,"[""Armed Forces and National Security"", ""Health""]",NA,"The text discusses the NDAA, which impacts military pay, national security, and access to reproductive health care.",NA,0,1,"","The text criticizes the Fiscal Year 2025 National Defense Authorization Act (NDAA) for restricting access to reproductive health care and harming servicemembers.",1,1,"","2024-06-14","The text mentions the hope that the final version of the bill includes bipartisan provisions.","The text mentions several of Rep. Larsen’s priorities that were included in the House-passed version of the NDAA.",2024,"Rick","Larsen","WA","rep",1567613030178979840,""
627953,105150,"floor",35597,"R000614","There is no justification for supporting a bill that does not materially change the direction of our military away from being social engineering back toward its mission. Nevertheless, what did they do?",1,"['Armed Forces and National Security']",1,"References military mission and supporting a bill.",0,0,1,NA,"The text is expressing policy criticism regarding the direction of the military and does not attack the character, integrity, intelligence, morality, or patriotism of a person or a political party. Instead, it criticizes the support of a bill related to the military's direction, focusing on policy rather than personal attributes.",0,0,"Text lacks any mention of collaboration or credit.","2023-12-13","Text lacks any mention of collaboration or credit.","Text lacks any mention of collaboration or credit.",2023,"Chip","Roy","TX","rep",1568249621159223296,""
55241,1089003,"newsletters",7503,"W000805","YES NO I am a (check all that apply): Veteran Family of a Veteran Military Service Member Military Family Member Federal Worker Federal Contractor Family of a Federal Worker Family of a Federal Contractor Federal Retiree Prefer Not to Say None of the Above What Issues are most important to you? Agriculture Banking & Financial Services Budget Civil Rights Commerce & Trade Defense & Armed Services Economy Education, K-12 Education - Higher-ed Energy Environment Federal Workers Foreign Relations Government Performance Health Care Housing Labor Immigration Seniors Taxes Transportation Veterans Other (please specify) Submit Click to open in a separate window Sen. Mark R Warner Washington, DC 703 Hart Senate Office Building.",1,"['Agriculture and Food', 'Finance and Financial Sector', 'Economics and Public Finance', 'Civil Rights and Liberties, Minority Issues', 'Commerce', 'Armed Forces and National Security', 'Education', 'Energy', 'Environmental Protection', 'Health', 'Housing and Community Development', 'Labor and Employment', 'Immigration', 'Taxation', 'Transportation and Public Works']",0,"List mentions various policy areas but no specific legislation.",0,0,0,NA,"The text provided is a survey question that does not contain any language attacking a person or a political party. Additionally, it does not criticize any policies but rather lists various topics of potential interest to the respondent.",0,0,"List of issues and identifiers, no discussion of actions.","2023-03-28","List of issues and identifiers, no discussion of actions.","List of issues and identifiers, no discussion of actions.",2023,"Mark","Warner","VA","sen",1567906232450646016,""
472331,235459,"statements",6906,"K000389","They wanted aid with defense from the United States. But at the same time they recognized that 40% of Taiwanese exports are to the mainland of China, and they wanted an affirmation of the One China policy, which is that the situation between Taiwan and China should be resolved through peaceful dialogue between both parties and an affirmation of the status quo.",1,"['Foreign Trade and International Finance', 'International Affairs', 'Armed Forces and National Security']",0,"Discusses foreign policy and defense.",0,0,1,NA,"The text is discussing the geopolitical stance of Taiwan regarding its relationships with both the United States and China. It references Taiwan's desire for defense aid and a peaceful resolution to its situation with China. There is no personal attack present as the text does not attack the character, integrity, intelligence, morality, or patriotism of any person or political party. The text is a policy criticism as it critiques or discusses the policies or positions regarding the One China policy and the status quo between Taiwan and China.",0,0,"Text discusses foreign policy, no mention of bipartisan efforts or credit-claiming.","2023-03-24","Text discusses foreign policy, no mention of bipartisan efforts or credit-claiming.","Text discusses foreign policy, no mention of bipartisan efforts or credit-claiming.",2023,"Ro","Khanna","CA","rep",1577398894023016448,""
308686,978872,"newsletters",14087,"Y000064","Read more here . Evansville Farmers Make Their Voices Heard Thank you to the farmers in Southwest Indiana who took time out of their busy days to share their thoughts on the Farm Bill, burdensome regulations, trade, and other topics at an Indiana Farm Bureau Shop Talk event last week in Evansville.",1,"['Agriculture and Food', 'Foreign Trade and International Finance']",1,"Mentions Farm Bill and trade regulations.",0,0,0,NA,"The text does not contain any personal attacks or policy criticism. It simply thanks farmers for sharing their thoughts on various topics during an event.",0,0,"No discussion of collaboration or accomplishments.","2023-08-16","No discussion of collaboration or accomplishments.","No discussion of collaboration or accomplishments.",2023,"Todd","Young","IN","sen",1577026505598984192,""
136325,1626771,"floor",53020,"L000551","It has been a tremendous honor, let me say, to serve as both chair and ranking member of the Subcommittee of State, Foreign Operations, and Related Programs, but I leave this role deeply concerned that our politics are leading us in the wrong direction and leaving the United States alone on the global stage. Democrats will not support a bill if it means turning our backs to the world's most vulnerable women or the looming threat of climate change.",1,"[""International Affairs"", ""Environmental Protection"", ""Families""]",NA,"The text discusses U.S. foreign relations, climate change, and vulnerable women.",NA,0,1,"","The text criticizes the potential policy of ignoring vulnerable women and climate change.",0,0,"","2024-06-26","The text does not discuss bipartisanship or collaboration between Democrats and Republicans.","The text does not take credit for legislation or accomplishments.",2024,"Barbara","Lee","CA","rep",1588221576289595392,""
242662,1686539,"statements",22700,"S001191","The current gate poses traffic safety and security issues, creating congestion on Valencia Road in Tucson. These funds will ensure timely completion of the project to relocate the existing installation entrance to a new site in order to meet security standoff and traffic requirements.",1,"[""Transportation and Public Works"", ""Armed Forces and National Security""]",NA,"The text discusses the relocation of a transportation installation for traffic safety and security reasons, relevant to both transportation infrastructure and national security.",NA,0,0,"","The text does not criticize any individual or political party; it discusses a project related to traffic safety and security.",0,0,"","2024-07-12","The text does not mention or imply collaboration or cooperation between political parties.","The text does not attribute the project or funding to any specific individual or group.",2024,"Kyrsten","Sinema","AZ","sen",1582847356491378688,""
36749,310659,"floor",24580,"D000563","These cuts would create uncertainty for hard-working families across the country, and they would put our national security and economic well-being at risk. Instead of negotiating in good faith, House Republicans are willing to put the country through the pain of a shutdown.",1,"['Economics and Public Finance', 'Armed Forces and National Security']",0,"Discusses economic and national security impacts, no specific legislation mentioned.",0,0,1,NA,"The text criticizes House Republicans for their actions regarding budget cuts and a potential government shutdown. However, it does not attack their character, integrity, intelligence, morality, or patriotism. Thus, it's a critique of their policy actions and not a personal attack.",0,0,"Text criticizes one party; lacks collaboration or credit-claiming discussion.","2023-09-26","Text criticizes one party; lacks collaboration or credit-claiming discussion.","Text criticizes one party; lacks collaboration or credit-claiming discussion.",2023,"Richard","Durbin","IL","sen",1580209715807559680,""
465463,959896,"newsletters",15198,"S001190","If you or your student is interested in military academy service, check my website for complete details. The honor of attending a service academy comes with the obligation and commitment to serve in the military for a minimum of five years upon graduation.",1,"['Armed Forces and National Security', 'Education']",0,"Discusses military academy service commitments.",0,0,0,NA,"The text is neither an attack nor a policy criticism. It is informational content regarding military academy service and the obligations that come with attending such an academy.",0,0,"No discussion of collaboration or accomplishments.","2023-09-13","No discussion of collaboration or accomplishments.","No discussion of collaboration or accomplishments.",2023,"Bradley","Schneider","IL","rep",1575153367776907264,""
56710,1647436,"statements",16004,"B001230","WASHINGTON, DC – US Senator Tammy Baldwin (D-WI) called on the US International Trade Commission (ITC) and the US Department of Commerce to level the playing field for American solar workers by supporting a set of antidumping and countervailing duty petitions filed by the American Alliance for Solar Manufacturing Trade Committee. In a letter to the Secretary of Commerce and the Chair of the ITC, Senator Baldwin joined her colleagues in pushing the ITC to thoroughly investigate Chinese companies with facilities in Cambodia, Malaysia, Thailand, and Vietnam that are engaging in unfair trade practices to avoid US tariffs and undermine the US solar industry and its workers, to pave the way for further action to combat China’s cheating.",1,"[""Foreign Trade and International Finance"", ""Energy""]",NA,"The text discusses trade practices involving Chinese companies and actions in the context of the US solar industry.",NA,0,1,"","The text criticizes foreign trade practices by firms in Southeast Asia, potentially reflecting on trade policy and enforcement.",0,1,"","2024-06-05","The text does not mention collaboration or compromise between Democrats and Republicans.","Senator Baldwin is taking credit for advocating and pushing for investigations into unfair trade practices in the solar industry.",2024,"Tammy","Baldwin","WI","sen",1575926864010305536,""
27318,1666975,"floor",53812,"W000437","Mr. President, I rise this morning to discuss national defense and, in particular, the importance of the NATO alliance as quite a number of our friends from NATO have arrived in Washington to celebrate the 75th annual meeting of this important defense organization. I can hardly talk about national defense and NATO and the importance of keeping our defenses strong without calling attention to the sad fact that our former colleague, Senator Jim Inhofe of Oklahoma, passed away today.",1,"[""Armed Forces and National Security""]",NA,"The text discusses the importance of national defense and the NATO alliance, fitting into the Armed Forces and National Security policy area.",NA,0,0,"","The text does not criticize a person, political party, policy, or legislation.",0,0,"","2024-07-09","The text does not discuss bipartisanship, cooperation, or compromise.","The text does not take credit for any legislation or accomplishment.",2024,"Roger","Wicker","MS","sen",1588563574368006144,""
